Número	Nombre de la Colonia
1	INFONAVIT CENTRO
2	CENTRO URBANO
3	SAN JUAN ATLAMICA
4	SAN ISIDRO
5	SAN ISIDRO
6	LOMA BONITA
7	EL NOPALITO
8	INFONAVIT NORTE
9	JOAQUIN LOPEZ NEGRETE
10	SAN MATEO IXTACALCO
11	BOSQUES DEL ALBA
12	BOSQUES DEL ALBA
13	BELLAVISTA
14	BELLAVISTA
15	CAMPESTRE DEL LAGO
16	LOMAS DEL BOSQUE
17	INDUSTRIAL CUAMATLA
18	AMPLIACION LA QUEBRADA
19	BOSQUES DE LA HACIENDA
20	LA JOYITA
21	INDUSTRIAL XHALA
22	SANTA MARIA GUADALUPE LAS TORRES
23	LA PIEDAD
24	JARDINES DE SAN MIGUEL
25	ATLANTA
26	ENSUEÑOS
27	VALLE DE LA HACIENDA
28	ARCOS DEL ALBA
29	ARCOS DEL ALBA
30	ARCOS DEL ALBA
31	FUENTES DEL BOSQUE
32	EJIDAL SAN ISIDRO
33	HACIENDA DEL PARQUE
34	HACIENDA DEL PARQUE
35	ARCOS DEL ALBA
36	ARCOS DEL ALBA
37	ARCOS DEL ALBA
38	HACIENDA DEL PARQUE
39	HACIENDA DEL PARQUE
40	BOSQUES DE HACIENDA
41	VALLE DE LAS FLORES
42	VALLE DE LAS FLORES
43	VALLE DE LAS FLORES
44	VALLE DE LAS FLORES
45	SANTA MARIA GUADALUPE
46	BELLAVISTA
47	BELLAVISTA
48	JARDINES DEL ALBA 2
49	JOYAS DEL ALBA
50	RINCONADA DE ALAMOS
51	PLAN DE GUADALUPE 2
52	MILITAR JOSE MA. MORELOS Y PAVON
53	PLAZA TEPEYAC
54	COLONIAL DEL TEPEYAC
55	LAS CONCHITAS
56	LA CAPILLA
57	LA CAPILLA
58	SAN LORENZO RIO TENCO
59	SAN SEBASTIAN XHALA
60	EL TIKAL
61	MIRADOR DE SANTA ROSA
62	BOSQUES DE XHALA
63	CAMPO UNO
64	PLAN DE GUADALUPE 1
65	SAN LUCAS
66	LOS PAJAROS
67	COFRADIA DE SAN MIGUEL
68	FIDEL VELAZQUEZ
69	DIAMANTE
70	JARDINES DE LA HACIENDA
71	ARBOLEDAS DE SAN MIGUEL
72	LA HERRADURA (LA GARRAPATA)
73	LA HERRADURA
74	LA PIEDAD I
75	TULIPANES
76	PRIVANZA
77	TEPALCAPA
78	VILLAS DIAMANTE
79	VILLAS DEL ALBA
80	EL ROBLE
81	DEL BOSQUE
82	ANDROMEDA
83	FRANCISCO VILLA
84	LA PRESITA
85	NIÑOS HEROES
86	CIVICA BACARDI
87	TRES PICOS
88	LAS HUERTAS
89	LAS MARIPOSAS
90	LAS GAVIOTAS
91	GRANJAS LOMAS DE GUADALUPE
92	BOSQUES DEL ALBA
93	BOSQUES DEL ALBA
94	LAGO DE GUADALUPE
95	SANTA ROSA DE LIMA
96	LAS AURORITAS
97	LA AURORA
98	EX HACIENDA DE SAN MIGUEL
99	EL ROSAL
100	LA LUZ
101	LA PERLA
102	COLINAS DEL LAGO
103	3 DE MAYO
104	LOMAS DE GUADALUPE
105	BOSQUES DE MORELOS
106	JORGE JIMENEZ CANTU
107	RINCON COLONIAL
108	ARCOS DE LA HACIENDA
109	SAN ISIDRO
110	SAN ISIDRO
111	EL SABINO
112	JALTIPA
113	VISTA HERMOSA
114	AXOTLAN
115	EL CERRITO
116	EL CERRITO
117	LA CAPILLA
118	LA CAPILLA
119	EL CERRITO
120	EL CERRITO
121	LOMA DE LOS ANGELES
122	SAN MARTIN TEPETLIXPAN
123	SAN MARTIN TEPETLIXPAN
124	SAN MARTIN TEPETLIXPAN
125	SAN MARTIN TEPETLIXPAN
126	LUIS ECHEVERRIA
127	LA QUEBRADA
128	CLAUSTROS DE SAN MIGUEL
129	ADOLFO LOPEZ MATEOS
130	EX HACIENDA SAN JOSE
131	SAN FRANCISCO TEPOJACO
132	COFRADIA SAN MIGUEL III
133	EJIDO EL SOCORO
134	DE SAN FRANCISCO TEPOJACO
135	SANTA BARBARA
136	BOSQUES DEL LAGO
137	ARCOS DEL ALBA
138	ARCOS DEL ALBA
139	ARCOS DEL ALBA
140	PARQUES
141	SAN ANTONIO
142	PRADOS DE CUAUTITLAN
143	SAN JOSE BUENAVISTA
144	CUMBRIA
