Número	Nombre de la Colonia
1	VENUSTIANO CARRANZA
2	BENITO JUÁREZ
3	MILPA ALTA
4	LA MAGDALENA CONTRERAS
5	IZTAPALAPA
6	COYOACÁN
7	TLÁHUAC
8	TLALPAN
9	IZTACALCO
10	XOCHIMILCO
11	ÁLVARO OBREGÓN
12	CUAUHTÉMOC
13	GUSTAVO A. MADERO
14	CUAJIMALPA DE MORELOS
15	MIGUEL HIDALGO
16	AZCAPOTZALCO
17	JALTENCO
18	NOPALTEPEC
19	TLAMANALCO
20	TEZOYUCA
21	ATLAUTLA
22	AXAPUSCO
23	AYAPANGO
24	COACALCO DE BERRIOZÁBAL
25	COCOTITLÁN
26	APAXCO
27	TEOTIHUACÁN
28	ACOLMAN
29	CUAUTITLÁN
30	TULTITLÁN
31	NEXTLALPAN
32	ATENCO
33	NICOLÁS ROMERO
34	ATIZAPÁN DE ZARAGOZA
35	CHICOLOAPAN
36	NEZAHUALCÓYOTL
37	JILOTZINGO
38	ECATEPEC DE MORELOS
39	TLALNEPANTLA DE BAZ
40	TEQUIXQUIAC
41	PAPALOTLA
42	TEPOTZOTLÁN
43	TEPETLIXPA
44	TEPETLAOXTOC
45	JUCHITEPEC
46	CHALCO
47	COYOTEPEC
48	NAUCALPAN DE JUÁREZ
49	TONANITLA
50	TEMAMATLA
51	ZUMPANGO
52	HUEHUETOCA
53	HUIXQUILUCAN
54	ISIDRO FABELA
55	IXTAPALUCA
56	OTUMBA
57	LA PAZ
58	TEMASCALAPA
59	MELCHOR OCAMPO
60	AMECAMECA
61	CHIMALHUACÁN
62	HUEYPOXTLA
63	ECATZINGO
64	TEXCOCO
65	CHICONCUAC
66	TECÁMAC
67	TENANGO DEL AIRE
68	OZUMBA
69	VILLA DEL CARBÓN
70	CHIAUTLA
71	SAN MARTÍN DE LAS PIRÁMIDES
72	TEOLOYUCAN
73	CUAUTITLÁN IZCALLI
74	VALLE DE CHALCO SOLIDARIDAD
75	TULTEPEC
