Número	Nombre de la Colonia
1	XOCHINAHUAC
2	PANTEÓN SAN ISIDRO
3	ISSFAM LAS ARMAS
4	COSMOPOLITA
5	COSMOPOLITA
6	CUITLAHUAC
7	VICTORIA DE LAS DEMOCRACIAS
8	TRABAJADORES DE PEMEX
9	EL ROSARIO
10	SAN MARTIN XOCHINAHUAC
11	SAN SALVADOR XOCHIMANCA
12	INDUSTRIAL VALLEJO
13	LAS SALINAS
14	LA RAZA
15	PORVENIR
16	COLTONGO
17	COLTONGO
18	SAN ALVARO
19	ÁNGEL ZIMBRÓN
20	SAN MIGUEL AMANTLA
21	SAN PEDRO XALPA
22	SAN PEDRO XALPA
23	SAN JUAN TLIHUACA
24	SAN JUAN TLIHUACA
25	EL JAGUEY
26	COBRE DE MÉXICO
27	SAN FRANCISCO XOCOTITLA
28	PATRIMONIO FAMILIAR
29	ALDANA
30	ARENAL
31	TLATILCO
32	TLATILCO
33	IGNACIO ALLENDE
34	TLATILCO
35	TLATILCO
36	ECOLÓGICA NOVEDADES IMPACTO
37	OBRERO POPULAR
38	NUEVA SANTA MARÍA
39	SAN BERNABE
40	HOGAR Y SEGURIDAD
41	UN HOGAR PARA CADA TRABAJADOR
42	NAVAL
43	JARDÍN AZPEITIA
44	LIBERTAD
45	CLAVERIA
46	SINDICATO MEXICANO DE ELECTRICISTAS
47	SANTA MARIA MANINALCO
48	DEL RECREO
49	LA ESCUADRA
50	LA PROVIDENCIA
51	SAN PEDRO XALPA
52	SAN PEDRO XALPA
53	SAN ANTONIO
54	CAMPO ENCANTADO
55	SAN JUAN TLIHUACA
56	SAN JUAN TLIHUACA
57	ROSENDO SALAZAR
58	SAN BARTOLO CAHUALTONGO
59	SAN ISIDRO
60	SANTA CRUZ ACAYUCAN
61	NEXTENGO
62	SANTA LUCIA
63	PETROLERA
64	PETROLERA
65	SAN FRANCISCO TETECALA
66	SAN MATEO
67	AXOLAGUA
68	DEL MAESTRO
69	SAN RAFAEL
70	LOS REYES
71	CENTRO DE AZCAPOTZALCO
72	PETROLERA
73	PETROLERA
74	LA PRECIOSA
75	TEZOZOMOC
76	LAS TRANCAS
77	MIGUEL HIDALGO
78	RINCONADA DEL OLIVAR
79	FRANCISCO VILLA
80	PRESIDENTE MADERO
81	NUEVA ROSARIO
82	NUEVO SAN RAFAEL
83	REYNOSA TAMAULIPAS
84	SAN MARCOS
85	SANTO TOMAS
86	SAN SEBASTIAN
87	HOGARES FERROCARRILEROS
88	DEL GAS
89	DEL GAS
90	DEL GAS
91	DEL GAS
92	AGUILERA
93	LIBERACION
94	PRO HOGAR
95	MONTE ALTO
96	TRABAJADORES DE HIERRO
97	JARDINES DE CEYLAN
98	EUZKADI
99	POTRERO DEL LLANO
100	COSMOPOLITA
101	COSMOPOLITA
102	HUAUTLA DE LAS SALINAS
103	COLTONGO
104	COLTONGO
105	SANTA CRUZ DE LAS SALINAS
106	SAN ANDRES DE LAS SALINAS
107	FERRERIA
108	SAN ANDRES
109	SAN ANDRES
110	SANTA CATARINA
111	ESTACION PANTACO
112	SANTA INES
113	NUEVA ESPAÑA
114	SAN PABLO XALPA
115	SANTA BARBARA
116	PRADOS DEL ROSARIO
117	EX EL ROSARIO
118	PROVIDENCIA
119	SANTIAGO AHUIZOTLA
120	PLENITUD
121	SANTA APOLONIA
122	CRUZ ROJA TEPATONGO
123	LAZARO CARDENAS
124	LERDO DE TEJADA
125	PANTACO
126	SANTO DOMINGO
127	VILLAS AZCAPOTZALCO
128	PASTEROS
129	TIERRA NUEVA
