Número	Nombre de la Colonia
1	CENTRO
2	ROMA SUR
3	CENTRO URBANO BENITO JUÁREZ
4	JUÁREZ
5	SANTA MARÍA INSURGENTES
6	BUENAVISTA
7	REVOLUCIÓN O TABACALERA
8	ROMA NORTE
9	VISTA ALEGRE
10	ASTURIAS
11	TRÁNSITO
12	ALGARÍN
13	MORELOS
14	VALLE GÓMEZ
15	ATLAMPA
16	HIPÓDROMO
17	ESPERANZA
18	PAULINO NAVARRO
19	HIPÓDROMO CONDESA
20	CONDESA
21	CUAUHTÉMOC
22	SAN RAFAEL
23	DOCTORES
24	OBRERA
25	GUERRERO
26	NONOALCO TLATELOLCO
27	EX HIPÓDROMO DE PERALVILLO
28	MAZA
29	FELIPE PESCADOR
30	SAN SIMÓN TOLNAHUAC
31	SANTA MARÍA LA RIBERA
32	ASTURIAS
33	BUENOS AIRES
34	PERALVILLO
