Número	Nombre de la Colonia
1	SIMÓN BOLÍVAR
2	FELIPE ÁNGELES
3	MICHOACANA
4	MICHOACANA
5	5O. TRAMO 20 DE NOVIEMBRE
6	PENITENCIARÍA
7	PENITENCIARÍA
8	DAMIÁN CARMONA
9	INDUSTRIAL PUERTO AÉREO
10	SANTA CRUZ AVIACIÓN
11	VALENTÍN GÓMEZ FARÍAS
12	ARENAL 1A. SECCIÓN
13	REVOLUCIÓN
14	ROMERO RUBIO
15	FEDERAL
16	AVIACIÓN CIVIL
17	ADOLFO LÓPEZ MATEOS
18	AMPLIACIÓN CARACOL
19	AEROPUERTO ARENAL (FIVIPORT)
20	ARENAL 4A. SECCIÓN
21	AARÓN SÁENZ
22	ÁLVARO OBREGÓN
23	24 DE ABRIL
24	AERONÁUTICA MILITAR
25	JANITZIO
26	VENUSTIANO CARRANZA
27	VENUSTIANO CARRANZA
28	20 DE NOVIEMBRE
29	20 DE NOVIEMBRE
30	AZTECA
31	MICHOACANA
32	MICHOACANA
33	NICOLÁS BRAVO
34	POPULAR RASTRO
35	EMILIO CARRANZA
36	1o. DE MAYO
37	PROGRESISTA
38	MADERO
39	MOCTEZUMA 2A. SECCIÓN
40	MOCTEZUMA 1A. SECCIÓN
41	VALLE GÓMEZ
42	LORENZO BOTURINI
43	MERCED BALBUENA
44	ZONA CENTRO
45	ARENAL 3A. SECCIÓN
46	ARENAL 2A. SECCIÓN
47	CUCHILLA PANTITLÁN
48	AMPLIACIÓN ADOLFO LÓPEZ MATEOS
49	AMPLIACIÓN AVIACIÓN
50	IGNACIO ZARAGOZA
51	MAGDALENA MIXIHUCA
52	JAMAICA
53	JARDÍN BALBUENA
54	VENUSTIANO CARRANZA
55	VENUSTIANO CARRANZA
56	TRES MOSQUETEROS
57	20 DE NOVIEMBRE
58	20 DE NOVIEMBRE
59	EL PARQUE
60	7 DE JULIO
61	ALAMEDA ORIENTE
62	INTERNACIONAL BENITO JUÁREZ
63	CARACOL
64	AQUILES SERDÁN
65	AMPLIACIÓN SIMÓN BOLÍVAR
66	MIGUEL HIDALGO
67	PENSADOR MEXICANO
68	DE LA MAGDALENA MIXIHUCA
69	ARTES GRÁFICAS
70	SEVILLA
71	MORELOS
72	PENITENCIARÍA
73	PENITENCIARÍA
74	10 DE MAYO
75	ESCUELA DE TIRO
76	PUEBLA
77	4 ÁRBOLES
78	PEÑÓN DE LOS BAÑOS
